company,date,open,high,low,close,average,volume,value,out_shares,sector,sub_sector
AC,"Feb 02, 2024",678.00,690.00,672.00,672.00,678.14,"238,090","161,458,025.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Feb 01, 2024",672.50,679.00,661.50,678.00,672.18,"164,310","110,446,420.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 31, 2024",661.00,683.50,661.00,679.00,678.87,"389,530","264,440,035.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 30, 2024",662.00,669.00,660.00,660.00,662.89,"264,090","175,063,580.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 29, 2024",675.00,681.00,661.00,661.00,664.42,"275,040","182,742,380.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 26, 2024",680.50,683.00,672.00,675.00,676.30,"270,060","182,642,380.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 25, 2024",689.50,695.00,679.00,680.00,682.06,"154,120","105,119,785.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 24, 2024",689.50,699.00,684.00,693.00,691.71,"170,450","117,902,115.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 23, 2024",690.50,691.00,683.50,683.50,686.85,"129,760","89,126,135.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 22, 2024",677.00,692.00,677.00,691.00,685.95,"289,890","198,848,795.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 19, 2024",674.00,682.00,673.00,675.00,675.24,"123,950","83,695,470.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 18, 2024",680.00,682.50,671.50,676.00,676.56,"244,460","165,390,920.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 17, 2024",679.50,683.50,672.00,683.00,679.15,"302,140","205,198,625.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 16, 2024",682.50,686.00,678.50,680.00,683.23,"448,780","306,619,850.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 15, 2024",685.00,687.00,676.00,680.50,682.37,"570,140","389,048,810.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 12, 2024",676.00,686.50,674.50,680.50,682.52,"443,300","302,559,100.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 11, 2024",670.00,678.50,666.00,674.00,673.79,"730,610","492,277,790.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 10, 2024",665.00,672.00,656.00,665.00,665.05,"1,108,090","736,937,040.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 09, 2024",697.00,711.00,696.00,696.00,702.21,"124,450","87,389,680.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
AC,"Jan 08, 2024",710.00,714.50,696.50,701.50,701.03,"281,080","197,045,905.00","619,807,425",HOLDING FIRMS,HOLDING FIRMS
